Questions;Answers; ; ; ;Indexes; ; ;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ;1; ; ;
Sensoriklabor Probe 364 Geruch;Fruchtig;Zitrus;Pfirsich;Apfel;0;5;7;8
Sensoriklabor Probe 364 Geschmack;Süß;Bitter; ; ;0;6; ;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ;1; ; ;
Sensoriklabor Probe 720 Geruch;SchmelzCremig;Holz; ; ;3;11; ;
Sensoriklabor Probe 720 Geschmack;Süß;Holz; ; ;0;5; ;
Sensoriklabor Probe 131 Farbe;Hellgelb; ; ; ;0; ; ;
Sensoriklabor Probe 131 Geruch;Blumig;Vegetativ; ; ;1;2; ;
Sensoriklabor Probe 131 Geschmack;Süß;Sauer; ; ;0;2; ;
Proband ID;18; ; ;
Studie;CATA; ; ;
Studie Variante;Weißwein; ; ;
Umgebung;Sensoriklabor; ; ;
